#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.056   -102.167   -117.980    -20.682    182.541    102.767
      0.200   -102.635    -83.467   -107.163    -10.905    191.451    113.574
      0.300   -103.100    -63.874    -95.191      1.603    200.410    125.877
      0.400   -102.129    -43.409    -81.903     17.828    208.891    139.877
      0.500    -99.283    -22.174    -67.129     39.092    215.815    155.611
      0.600    -93.981     -0.430    -50.719     66.936    219.071    172.590
      0.700    -85.518     21.272    -32.638    102.326    214.962    189.024
      0.800    -73.235     41.952    -13.144    143.327    198.634    200.848
      0.900    -56.953     60.284      7.032    182.329    168.006    202.679
      1.000    -37.359     75.131     26.812    209.535    128.942    192.916
      1.100    -15.782     86.132     45.257    222.014     91.075    175.993
      1.200      6.501     93.667     61.920    223.637     59.634    157.251
      1.300     28.640     98.407     76.761    219.158     35.152    139.575
      1.400     50.185    100.984     89.934    211.743     16.396    123.894
      1.500     70.929    101.902    101.642    203.124      1.958    110.261
      1.600     90.794    101.535    112.077    194.181     -9.292     98.443
      1.700    109.770    100.161    121.407    185.340    -18.183     88.151
      1.800    127.877     97.987    129.771    176.800    -25.303     79.125
      1.900    145.149     95.168    137.284    168.640    -31.076     71.143
      2.000    161.625     91.824    144.043    160.882    -35.805     64.029
      2.100    177.345     88.048    150.126    153.519    -39.712     57.639
      2.200    192.348     83.914    155.601    146.530    -42.963     51.859
      2.300    206.669     79.482    160.524    139.888    -45.683     46.596
      2.400    220.341     74.799    164.942    133.565    -47.968     41.777
      2.500    233.396     69.906    168.898    127.533    -49.891     37.340
      2.600    245.861     64.836    172.427    121.769    -51.512     33.234
      2.700    257.762     59.617    175.560    116.246    -52.877     29.418
      2.800    269.121     54.272    178.323    110.944    -54.023     25.857
      2.900    279.961     48.822    180.742    105.843    -54.981     22.521
      3.000    290.299     43.284    182.838    100.926    -55.775     19.386
      3.100    300.154     37.674    184.628     96.176    -56.426     16.430
      3.200    309.542     32.005    186.132     91.579    -56.951     13.635
      3.300    318.477     26.289    187.363     87.123    -57.365     10.984
      3.400    326.973     20.537    188.335     82.794    -57.679      8.465
      3.500    335.042     14.758    189.062     78.583    -57.904      6.064
      3.600    342.695      8.960    189.553     74.480    -58.047      3.772
      3.700    349.943      3.152    189.821     70.477    -58.117      1.579
      3.800    356.795     -2.660    189.874     66.564    -58.120     -0.523
      3.900    363.260     -8.469    189.721     62.735    -58.061     -2.541
      4.000    369.346    -14.269    189.369     58.982    -57.944     -4.483
      4.100    375.060    -20.055    188.828     55.300    -57.774     -6.354
      4.200    380.409    -25.821    188.102     51.682    -57.555     -8.159
      4.300    385.399    -31.564    187.199     48.124    -57.288     -9.903
      4.400    390.036    -37.277    186.124     44.620    -56.977    -11.590
      4.500    394.326    -42.957    184.883     41.165    -56.624    -13.224
      4.600    398.272    -48.599    183.482     37.755    -56.230    -14.809
      4.700    401.879    -54.201    181.924     34.385    -55.797    -16.348
      4.800    405.150    -59.757    180.214     31.053    -55.326    -17.843
      4.900    408.091    -65.264    178.357     27.753    -54.819    -19.298
      5.000    410.702    -70.719    176.357     24.483    -54.276    -20.715
      5.100    412.989    -76.118    174.216     21.238    -53.697    -22.096
      5.200    414.951    -81.457    171.939     18.017    -53.084    -23.443
      5.300    416.593    -86.733    169.529     14.814    -52.437    -24.758
