#         t          x          y          z         vx         vy         vz
      6.357     27.450    139.810     18.090     36.350     -7.560     49.310
      6.429     29.580    138.250     20.110     29.450    -27.740     39.620
      6.500     31.260    136.100     21.950     37.720    -34.770     39.290
      6.571     32.800    134.230     24.400     36.140    -26.250     47.560
      6.643     34.500    132.640     26.910     41.790    -26.590     43.800
      6.714     36.650    131.040     29.260     42.510    -28.100     40.360
      6.786     39.130    129.360     31.510     39.370    -34.860     27.550
      6.857     41.680    127.540     33.660     40.950    -33.410     27.020
      6.929     44.210    125.510     35.910     40.740    -34.160     27.800
      7.000     46.840    123.230     38.150     40.030    -32.180     26.870
      7.071     49.340    120.760     40.090     34.660    -36.050     14.020
      7.143     51.860    118.340     41.750     33.780    -30.290     13.390
      7.214     54.410    116.180     43.450     34.750    -27.740     14.040
      7.286     57.060    114.250     45.140     36.860    -28.240     14.680
      7.357     59.700    112.420     46.850     35.710    -25.000     21.240
      7.429     62.220    110.760     48.490     35.600    -22.790     19.710
      7.500     64.870    109.140     50.060     36.010    -24.210     21.470
      7.571     67.510    107.570     51.650     36.070    -21.420     22.230
      7.643     70.170    106.070     53.190     34.390    -21.170     21.960
      7.714     72.780    104.560     54.650     32.140    -20.220     21.940
      7.786     75.390    103.200     56.150     32.420    -17.400     22.260
      7.857     77.990    101.860     57.600     29.200    -19.240     18.100
      7.929     80.590    100.530     59.080     32.620    -18.700     18.300
      8.000     83.230     99.150     60.640     34.970    -18.990     20.460
      8.071     85.760     97.810     62.390     34.830    -16.710     22.990
      8.143     88.180     96.570     64.280     34.400    -16.200     23.240
      8.214     90.500     95.400     66.220     32.370    -17.880     26.330
      8.286     92.730     94.130     68.230     34.960    -17.990     32.010
      8.357     94.950     92.770     70.360     36.440    -19.830     34.960
      8.429     97.350     91.150     72.390     36.490    -25.430     31.520
      8.500     99.840     89.310     74.310     36.700    -28.210     31.160
      8.571    102.500     87.330     76.250     36.200    -27.090     30.500
      8.643    105.070     85.280     78.110     31.550    -32.600     24.970
      8.714    107.410     83.200     79.990     30.290    -29.800     24.340
      8.786    109.760     81.260     81.830     33.610    -27.340     23.720
      8.857    112.120     79.380     83.560     32.160    -29.090     18.940
      8.929    114.350     77.400     85.180     30.540    -26.810     18.830
      9.000    116.530     75.420     86.840     31.810    -26.190     20.720
      9.071    118.600     73.400     88.530     29.110    -23.650     21.270
      9.143    120.580     71.390     90.170     31.170    -25.490     19.650
      9.214    122.550     69.300     91.770     31.920    -26.040     20.920
      9.286    124.490     67.300     93.290     30.170    -24.290     19.230
      9.357    126.440     65.380     94.800     30.970    -25.730     21.280
      9.429    128.350     63.640     96.200     27.670    -22.510     21.600
      9.500    130.250     62.080     97.540     24.920    -17.900     23.960
      9.571    132.230     60.790     98.900     26.580    -15.870     21.920
      9.643    134.300     59.670    100.420     27.710    -14.050     23.200
      9.714    136.540     58.700    102.210     29.520    -13.600     23.760
      9.786    138.910     57.780    104.130     33.050    -14.780     24.280
      9.857    141.420     56.820    106.180     33.670    -18.690     27.480
      9.929    143.930     55.810    108.330     34.440    -21.530     29.950
     10.000    146.420     54.750    110.490     35.250    -19.550     29.600
     10.071    148.990     53.660    112.660     34.760    -19.670     31.400
     10.143    151.570     52.440    114.790     32.610    -18.540     32.450
     10.214    154.180     51.050    116.910     32.800    -20.170     32.290
     10.286    156.920     49.490    119.010     35.350    -19.650     30.120
     10.357    159.680     47.810    121.190     34.850    -22.240     29.090
     10.429    162.340     46.060    123.450     33.730    -22.750     27.370
     10.500    164.870     44.130    125.640     31.720    -28.740     24.250
     10.571    167.190     42.060    127.620     30.720    -31.620     19.870
     10.643    169.300     39.990    129.350     29.780    -28.640     18.900
     10.714    171.220     38.060    130.890     30.640    -27.010     18.530
     10.786    173.000     36.220    132.280     27.400    -25.390     18.770
     10.857    174.640     34.470    133.570     26.090    -18.170     17.990
     10.929    176.280     32.900    134.800     28.070    -17.250     21.610
     11.000    177.990     31.480    136.120     30.020    -15.260     25.770
     11.071    179.920     30.150    137.560     31.210    -16.700     26.840
     11.143    181.940     28.810    139.090     29.260    -20.110     28.470
     11.214    183.960     27.440    140.710     29.010    -20.170     29.320
     11.286    186.120     26.240    142.350     29.490    -16.740     27.490
     11.357    188.390     25.040    144.020     29.540    -21.920     26.780
     11.429    190.720     23.680    145.800     30.600    -21.000     27.140
