#         t          x          y          z         vx         vy         vz
      6.357     22.980    139.930     18.550     33.000    -33.700     19.790
      6.429     26.150    138.670     20.840     39.400    -18.250     22.140
      6.500     28.520    136.560     21.890     42.470    -24.760     24.430
      6.571     31.640    134.880     23.990     44.380    -26.890     29.710
      6.643     34.790    133.230     26.810     43.180    -23.470     46.360
      6.714     37.660    130.860     29.500     38.380    -27.220     37.110
      6.786     40.320    130.180     32.850     36.380    -26.070     44.540
      6.857     43.210    127.690     35.110     42.670    -33.140     30.840
      6.929     45.910    125.140     37.070     37.860    -35.660     30.110
      7.000     48.610    122.310     38.390     40.530    -31.660     25.410
      7.071     51.230    120.880     40.780     31.520    -27.860     32.210
      7.143     53.300    118.050     41.900     33.810    -19.540     22.060
      7.214     55.460    116.040     43.280     32.800    -27.980     21.540
      7.286     57.900    114.100     44.500     32.400    -24.970     14.930
      7.357     60.890    112.710     45.870     28.630    -23.610     20.720
      7.429     63.200    111.180     47.650     35.780    -23.480     29.720
      7.500     65.590    109.490     49.720     35.700    -24.260     26.740
      7.571     68.260    107.660     51.640     38.330    -27.050     20.520
      7.643     70.350    105.540     53.140     32.420    -26.100     26.740
      7.714     72.590    104.050     54.970     28.830    -18.260     26.400
      7.786     74.910    102.590     56.770     27.750    -15.620     21.770
      7.857     77.140    101.240     58.320     32.040    -13.090     22.420
      7.929     79.400    100.000     59.790     31.300    -19.510     17.810
      8.000     81.660     98.750     61.030     34.750    -16.280     19.350
      8.071     84.390     97.280     62.400     40.080    -15.150     22.720
      8.143     87.230     96.050     63.890     37.770    -18.190     24.610
      8.214     89.880     94.810     65.810     31.370    -15.560     28.210
      8.286     92.390     93.590     67.860     40.010    -13.650     34.710
      8.357     95.240     92.300     70.100     36.230    -28.420     32.190
      8.429     97.830     90.640     72.770     36.880    -23.870     34.140
      8.500    100.350     88.820     75.230     30.950    -24.720     32.160
      8.571    102.760     86.740     77.240     34.280    -25.830     25.150
      8.643    105.180     84.780     79.110     34.190    -27.470     28.670
      8.714    107.490     82.750     80.940     28.440    -27.860     22.830
      8.786    109.660     80.700     82.410     27.910    -27.610     19.120
      8.857    111.630     78.810     83.920     33.320    -26.810     22.940
      8.929    113.880     76.840     85.320     30.120    -28.360     22.010
      9.000    115.950     74.980     87.090     30.230    -24.550     21.930
      9.071    118.080     73.270     88.580     30.000    -22.970     22.680
      9.143    120.360     71.660     90.130     36.170    -25.910     20.160
      9.214    122.410     69.990     91.390     30.580    -24.520     19.910
      9.286    124.540     68.220     92.870     33.990    -24.800     18.810
      9.357    127.180     66.440     94.460     29.970    -23.720     14.600
      9.429    129.170     64.490     95.790     30.990    -25.320     24.370
      9.500    131.030     62.980     97.470     25.340    -24.020     27.600
      9.571    132.890     61.600     99.230     24.440    -18.420     20.430
      9.643    134.790     60.640    100.860     28.830    -10.490     24.660
      9.714    136.810     59.690    102.550     26.850    -16.150     22.950
      9.786    139.040     58.480    104.200     34.000    -20.980     21.780
      9.857    141.490     57.180    106.020     38.950    -15.330     27.210
      9.929    144.140     55.880    108.250     41.710    -18.430     33.160
     10.000    146.810     54.360    110.410     36.100    -24.260     27.080
     10.071    149.510     52.890    112.550     39.520    -22.320     32.720
     10.143    151.980     51.410    114.690     29.140    -22.240     29.900
     10.214    154.140     50.100    117.000     34.930    -20.300     33.350
     10.286    156.480     48.940    119.450     35.880    -15.230     37.230
     10.357    158.980     47.890    121.710     35.960    -18.720     25.570
     10.429    161.380     46.120    123.370     35.610    -19.980     26.540
     10.500    163.810     44.370    125.280     30.440    -31.030     24.520
     10.571    165.990     42.000    126.180     25.000    -29.270     16.880
     10.643    168.090     40.110    127.950     33.890    -32.640     20.690
     10.714    170.250     38.030    129.260     31.950    -29.710     19.800
     10.786    172.130     36.170    130.660     24.670    -27.420     18.590
     10.857    173.980     34.540    132.200     28.170    -19.250     18.620
     10.929    175.880     33.180    133.800     30.970    -20.420     18.720
     11.000    178.320     31.680    135.400     36.900    -15.760     30.200
     11.071    180.500     30.390    137.490     27.760    -23.380     28.850
     11.143    182.510     28.830    139.270     30.320    -22.940     25.050
     11.214    184.510     27.270    141.100     28.700    -22.700     29.770
     11.286    186.540     25.890    143.000     29.800    -15.340     29.280
     11.357    188.750     24.550    144.930     28.550    -20.840     31.090
     11.429    190.930     23.220    146.950     28.410    -19.420     26.070
