#         t          x          y          z         vx         vy         vz
      6.357     22.990    140.130     18.770     35.530    -25.840     32.850
      6.429     25.280    138.240     20.140     33.200    -23.290     21.200
      6.500     28.340    136.580     21.850     45.890    -20.710     27.840
      6.571     31.750    135.420     24.420     45.210    -23.760     37.200
      6.643     34.540    133.700     26.990     39.480    -23.360     38.750
      6.714     37.230    131.880     29.790     36.120    -25.960     37.610
      6.786     40.190    129.460     32.330     35.410    -31.430     28.910
      6.857     42.950    127.330     34.520     41.810    -30.730     29.590
      6.929     45.780    124.890     36.640     39.710    -32.810     30.640
      7.000     48.690    122.430     38.640     38.020    -35.030     31.220
      7.071     51.130    120.100     40.480     29.320    -31.250     16.490
      7.143     53.070    118.090     41.910     30.720    -28.950     18.250
      7.214     55.410    115.960     43.300     35.710    -29.220     17.890
      7.286     57.870    113.950     44.800     33.820    -26.560     19.520
      7.357     60.340    111.990     46.220     35.160    -28.500     18.180
      7.429     62.890    110.200     47.750     34.400    -21.330     23.900
      7.500     65.310    109.110     49.480     35.530    -24.290     22.250
      7.571     67.800    106.950     51.280     35.440    -22.670     29.760
      7.643     70.420    105.310     53.080     37.180    -21.470     26.940
      7.714     72.830    104.100     55.150     30.710    -21.050     26.030
      7.786     75.190    102.430     56.740     29.300    -19.210     19.470
      7.857     77.380    101.210     58.360     32.030    -18.760     24.850
      7.929     79.620    100.040     59.830     27.930    -20.360     15.800
      8.000     81.930     98.660     61.030     30.850    -17.550     19.220
      8.071     84.590     97.500     62.520     37.660    -16.550     21.630
      8.143     87.400     96.350     64.210     36.410    -17.940     20.390
      8.214     90.000     95.100     65.840     37.420    -17.880     23.500
      8.286     92.720     93.780     67.840     35.190    -16.300     30.000
      8.357     95.190     92.340     70.110     41.310    -24.580     34.710
      8.429     97.920     90.650     72.450     33.740    -26.290     31.810
      8.500    100.620     88.940     75.020     34.560    -25.230     34.010
      8.571    103.030     87.030     77.130     35.970    -25.680     30.480
      8.643    105.390     85.460     79.030     30.690    -31.080     24.570
      8.714    107.380     83.310     80.750     31.650    -30.900     22.050
      8.786    109.530     81.250     82.470     31.200    -24.710     23.440
      8.857    111.740     79.310     84.170     31.270    -27.280     21.860
      8.929    113.950     77.410     85.690     33.720    -28.540     18.730
      9.000    115.900     75.250     87.150     29.180    -25.700     21.180
      9.071    118.010     73.550     88.740     31.770    -19.350     22.030
      9.143    120.460     71.320     90.150     32.070    -21.040     19.500
      9.214    122.760     69.720     91.640     31.170    -24.370     18.250
      9.286    125.040     67.880     93.110     27.150    -25.000     15.940
      9.357    127.190     65.960     94.570     31.350    -25.340     18.630
      9.429    129.160     64.670     95.890     28.950    -27.060     20.970
      9.500    131.220     63.080     97.760     26.210    -22.240     24.740
      9.571    133.100     61.700     99.520     27.300    -15.100     24.850
      9.643    135.030     60.600    101.200     33.060    -10.600     27.700
      9.714    137.100     59.530    102.890     26.220    -13.850     26.410
      9.786    139.280     58.430    104.680     36.300    -17.700     26.120
      9.857    141.720     57.120    106.520     34.920    -21.130     24.340
      9.929    144.110     55.710    108.290     37.030    -19.660     30.690
     10.000    146.700     54.240    110.270     36.360    -21.370     28.460
     10.071    149.340     52.760    112.320     32.320    -21.550     30.150
     10.143    151.560     51.070    114.590     32.050    -16.810     36.230
     10.214    153.860     49.800    116.820     34.500    -16.240     31.190
     10.286    156.230     48.470    119.060     32.760    -17.380     30.030
     10.357    158.540     47.160    121.230     33.370    -13.850     27.040
     10.429    160.870     45.880    123.300     34.880    -25.950     27.900
     10.500    163.260     44.190    125.270     31.300    -26.220     24.360
     10.571    165.610     42.350    126.950     30.950    -32.300     20.090
     10.643    167.840     40.210    128.400     29.720    -28.500     20.280
     10.714    170.120     38.300    129.780     31.150    -26.800     19.720
     10.786    172.180     36.460    131.020     24.930    -23.970     17.320
     10.857    174.060     34.750    132.330     28.630    -22.540     19.320
     10.929    176.050     33.460    133.840     29.340    -17.580     26.840
     11.000    178.180     32.310    135.690     31.780    -16.300     28.750
     11.071    180.230     31.090    137.540     31.360    -19.450     25.340
     11.143    182.340     29.750    139.570     30.080    -16.180     31.910
     11.214    184.410     28.260    141.640     28.900    -20.880     28.990
     11.286    186.560     26.800    143.680     29.690    -20.350     25.910
     11.357    188.630     25.550    145.550     30.290    -19.180     27.060
     11.429    190.840     24.100    147.490     34.770    -22.660     28.000
